de	zh	fr	hi	it	ja	pt	ru	es
viel - much	很多很多	beaucoup - beaucoup	बहुत ज्यादा	molto - molto	たくさん - たくさん	muito - muito	много - много	mucho - mucho
wenig - little	一点一点	peu - peu	छोटी छोटी	poco - poco	少し - 少し	pouco - pouco	немного - мало	poco - poco
genug - enough	够了——够了	assez - assez	पर्याप्त	abbastanza - abbastanza	十分 - 十分	o suficiente - o suficiente	достаточно - достаточно	suficiente - suficiente
zu - too	太 - 太	aussi - aussi	भी - भी	anche - anche	あまりにも - あまりにも	também - também	тоже - слишком	también - también
sehr - very	非常 - 非常	très - très	बहुत - बहुत	molto - molto	とても - とても	muito - muito	очень - очень	muy - muy
ganz - quite	相当 - 相当	tout à fait - tout à fait	काफ़ी - काफ़ी	abbastanza - abbastanza	かなり - かなり	bastante - bastante	совсем-совсем	bastante - bastante
ziemlich - quite, rather	相当 - 相当，相当	tout à fait - tout à fait, plutôt	काफी - काफी, बल्कि	abbastanza - abbastanza, piuttosto	かなり - かなり、むしろ	bastante - bastante, bastante	вполне - вполне, скорее	bastante - bastante, más bien
etwa - approximately	大约 - 大约	environ - environ	लगभग - लगभग	approssimativamente - approssimativamente	およそ - およそ	aproximadamente - aproximadamente	примерно - примерно	aproximadamente - aproximadamente
fast - almost	几乎 - 几乎	presque - presque	लगभग - लगभग	quasi - quasi	ほぼ - ほぼ	quase - quase	почти - почти	casi - casi
kaum - hardly	几乎——几乎	à peine - à peine	शायद ही - शायद ही	difficilmente - difficilmente	ほとんど - ほとんどない	dificilmente - dificilmente	вряд ли - вряд ли	apenas - apenas
nur - only	仅仅——仅仅	juste - seulement	बस केवल	solo - solo	ただ - だけ	apenas - apenas	просто - только	solo - solo
sogar - even	偶数 - 偶数	même - même	सम - सम	anche - anche	偶数 - 偶数	mesmo - mesmo	даже - даже	incluso - incluso
besonders - especially	特别是——特别是	surtout - surtout	विशेष रूप से - विशेष रूप से	soprattutto - soprattutto	特に - 特に	especialmente - especialmente	особенно - особенно	especialmente - especialmente
hauptsächlich - mainly	主要 - 主要	principalement - principalement	मुख्य रूप से - मुख्य रूप से	principalmente - principalmente	主に - 主に	principalmente - principalmente	главным образом - главным образом	principalmente - principalmente
meistens - mostly	大部分 - 大部分	surtout - surtout	अधिकतर - अधिकतर	per lo più - per lo più	ほとんど - ほとんど	principalmente - principalmente	в основном - в основном	en su mayoría - en su mayoría
normalerweise - normally	通常 - 通常	normalement - normalement	सामान्य रूप से - सामान्य रूप से	normalmente - normalmente	通常 - 通常	normalmente - normalmente	нормально - нормально	normalmente - normalmente
gewöhnlich - usually	通常 - 通常	habituellement - habituellement	आमतौर पर - आमतौर पर	di solito - di solito	通常 - 通常	normalmente - normalmente	обычно - обычно	normalmente - normalmente
üblich - usual	平常 - 平常	habituel - habituel	सामान्य - सामान्य	solito - solito	いつもの - いつもの	habitual - habitual	обычный - обычный	habitual - habitual
häufig - frequent	经常 - 经常	fréquemment - fréquent	बारंबार - बारंबार	frequentemente - frequente	頻繁に - 頻繁に	frequentemente - frequente	часто - частый	frecuentemente - frecuente
regelmäßig - regular	定期 - 定期	régulièrement - régulièrement	नियमित रूप से - नियमित रूप से	regolarmente - regolarmente	定期的に - 定期的に	regularmente - regularmente	регулярно - регулярно	regularmente - regularmente
ständig - constant	不断地-不断地	constamment - constant	लगातार - निरंतर	costantemente - costante	常に - 一定	constantemente - constante	постоянно - постоянный	constantemente - constante
dauernd - constantly	不断地——不断地	constamment - constamment	लगातार - लगातार	costantemente - costantemente	常に - 常に	constantemente - constantemente	постоянно - постоянно	constantemente - constantemente
ewig - eternal	永恒——永恒	éternel - éternel	शाश्वत - शाश्वत	eterno - eterno	永遠 - 永遠	eterno - eterno	вечный - вечный	eterno - eterno
vorübergehend - temporary	暂时 - 暂时	temporairement - temporaire	अस्थायी - अस्थायी	temporaneamente - temporaneo	一時的に - 一時的に	temporariamente - temporário	временно - временный	temporalmente - temporal
zeitweilig - temporary	暂时 - 暂时	temporairement - temporaire	अस्थायी - अस्थायी	temporaneamente - temporaneo	一時的に - 一時的に	temporariamente - temporário	временно - временный	temporalmente - temporal
gelegentlich - occasional	偶尔 - 偶尔	occasionnellement - occasionnel	यदा-कदा - यदा-कदा	occasionalmente - occasionale	時々 - 時々	ocasionalmente - ocasionalmente	изредка - изредка	ocasionalmente - ocasionalmente
manchmal - sometimes	有时 - 有时	parfois - parfois	कभी-कभी	a volte - a volte	時々 - 時々	às vezes - às vezes	иногда - иногда	a veces - a veces
zuweilen - at times	有时 - 有时	parfois - parfois	कभी-कभी	a volte - a volte	時々 - 時々	às vezes - às vezes	иногда - время от времени	a veces - a veces
bisweilen - occasionally	有时 - 偶尔	parfois - de temps en temps	कभी-कभी - कभी-कभी	a volte - occasionalmente	時々 - 時々	às vezes - ocasionalmente	иногда - иногда	a veces - ocasionalmente
nie - never	从来没有 - 从来没有	jamais - jamais	कभी नहीं, कभी नहीं	mai - mai	決して - 決して	nunca - nunca	никогда - никогда	nunca - nunca
niemals - never	从来没有 - 从来没有	jamais - jamais	कभी नहीं, कभी नहीं	mai - mai	決して - 決して	nunca - nunca	никогда - никогда	nunca - nunca
stets - always	总是 - 总是	toujours - toujours	हमेशा - हमेशा	sempre - sempre	いつも - いつも	sempre - sempre	всегда - всегда	siempre - siempre
fortwährend - continually	不断地——不断地	continuellement - continuellement	लगातार - लगातार	continuamente - continuamente	継続的に - 継続的に	continuamente - continuamente	постоянно - постоянно	continuamente - continuamente
beständig - constant	常数 - 常数	constante - constante	स्थिर - स्थिर	costante - costante	定数 - 定数	constante - constante	постоянный - постоянный	constante - constante
gleichbleibend - constant	常数 - 常数	constante - constante	स्थिर - स्थिर	costante - costante	定数 - 定数	constante - constante	постоянный - постоянный	constante - constante
wechselnd - changing	改变——改变	changer - changer	बदल रहा है - बदल रहा है	cambiare - cambiare	変化する - 変化する	mudando - mudando	изменение - изменение	cambiando - cambiando
veränderlich - variable	可变的-变量	mutable - variable	परिवर्तनशील - परिवर्तनशील	mutevole - variabile	可変 - 変数	mutável - variável	изменяемый - переменная	mutable - variable
beweglich - mobile	可移动的 - 移动的	mobile - mobile	चल - चल	mobile - mobile	可動 - モバイル	móvel - móvel	подвижный - мобильный	móvil - móvil
fest - firm	坚定-坚定	ferme - ferme	दृढ़ - दृढ़	fermo - fermo	しっかり - しっかり	empresa - empresa	фирма - фирма	firme - firme
stabil - stable	稳定-稳定	stable - stable	स्थिर - स्थिर	stabile - stabile	安定 - 安定	estável - estável	стабильный - стабильный	estable - estable
sicher - secure	安全可靠	sûr - sécurisé	सकुशल सुरक्षित	sicuro - sicuro	安全 - 安全	seguro - seguro	безопасный - безопасный	seguro - seguro
solide - solid	固体-固体	solide - solide	ठोस - ठोस	solido - solido	固体 - 固体	sólido - sólido	твердый - твердый	sólido - sólido
dauerhaft - durable	耐用-耐用	durable - durable	टिकाऊ - टिकाऊ	durevole - durevole	耐久性のある - 耐久性のある	durável - durável	прочный - прочный	duradero - duradero
beständig - lasting	抵抗力持久	résistant - durable	प्रतिरोधी - स्थायी	resistente - duraturo	耐性 - 持続性	resistente - duradouro	стойкий – прочный	resistente - duradero
vergänglich - transient	短暂的 - 短暂的	éphémère - transitoire	क्षणभंगुर - क्षणभंगुर	effimero - transitorio	一時的な - 一時的な	efêmero - transitório	эфемерный - преходящий	efímero - transitorio
flüchtig - fleeting	转瞬即逝——转瞬即逝	éphémère - éphémère	क्षणभंगुर - क्षणभंगुर	fugace - fugace	つかの間 - つかの間	fugaz - fugaz	мимолетный - мимолетный	fugaz - fugaz
kurzzeitig - short-term	短期 - 短期	à court terme - à court terme	अल्पकालिक - अल्पकालिक	a breve termine - a breve termine	短期 - 短期	curto prazo - curto prazo	краткосрочный - краткосрочный	a corto plazo - a corto plazo
langfristig - long-term	长期-长期	long terme - long terme	दीर्घकालिक - दीर्घकालिक	a lungo termine - a lungo termine	長期 - 長期	longo prazo - longo prazo	долгосрочный - долгосрочный	largo plazo - largo plazo
ewig - eternal	永恒——永恒	éternel - éternel	शाश्वत - शाश्वत	eterno - eterno	永遠 - 永遠	eterno - eterno	вечный - вечный	eterno - eterno
zeitlos - timeless	永恒-永恒	intemporel - intemporel	कालातीत - कालातीत	senza tempo - senza tempo	時代を超えた - 時代を超えた	atemporal - atemporal	вневременной - вневременной	atemporal - atemporal
aktuell - current	当前-当前	courant - courant	वर्तमान - वर्तमान	corrente - corrente	現在 - 現在	atual - atual	текущий - текущий	actual - actual
modern - modern	现代-现代	moderne - moderne	आधुनिक - आधुनिक	moderno - moderno	モダン - モダン	moderno - moderno	современный - современный	moderno - moderno
zeitgemäß - contemporary	当代-当代	contemporain - contemporain	समसामयिक - समसामयिक	contemporaneo - contemporaneo	現代 - 現代	contemporâneo - contemporâneo	современный - современный	contemporáneo - contemporáneo
altmodisch - old-fashioned	老式的-老式的	démodé - démodé	पुराने ज़माने का - पुराने ज़माने का	vecchio stile - vecchio stile	昔ながらの - 昔ながらの	antiquado - antiquado	старомодный - старомодный	anticuado - anticuado
veraltet - outdated	过时的——过时的	obsolète - obsolète	पुराना - पुराना	obsoleto - obsoleto	時代遅れ - 時代遅れ	desatualizado - desatualizado	устаревший - устаревший	anticuado - anticuado
neu - new	新 - 新	nouveau - nouveau	नई नई	nuovo - nuovo	新しい - 新しい	novo - novo	новый - новый	nuevo - nuevo
frisch - fresh	新鲜-新鲜	frais - frais	ताज़ा - ताज़ा	fresco - fresco	新鮮 - 新鮮	fresco - fresco	свежий - свежий	fresco - fresco
original - original	原创 - 原创	original - original	मूल - मूल	originale - originale	オリジナル - オリジナル	original - original	оригинал - оригинал	originales - originales
einzigartig - unique	独特-独特	unique - unique	अद्वितीय - अद्वितीय	unico - unico	ユニーク - ユニーク	único - único	уникальный - уникальный	único - único
besonder - special	特别 - 特别	spécial - spécial	विशेष - विशेष	speciale - speciale	特別 - 特別	especial - especial	особенный - особенный	especial - especial
gewöhnlich - ordinary	普通——普通	ordinaire - ordinaire	साधारण - साधारण	ordinario - ordinario	普通 - 普通	comum - comum	обычный - обычный	ordinario - ordinario
normal - normal	正常 - 正常	normal - normal	सामान्य - सामान्य	normale - normale	普通 - 普通	normal - normal	нормальный - нормальный	normal - normal
üblich - usual	平常 - 平常	habituel - habituel	सामान्य - सामान्य	solito - solito	いつもの - いつもの	habitual - habitual	обычный - обычный	habitual - habitual
außergewöhnlich - extraordinary	非凡 - 非凡	extraordinaire - extraordinaire	असाधारण - असाधारण	straordinario - straordinario	異常な - 異常な	extraordinário - extraordinário	необыкновенный - необыкновенный	extraordinario - extraordinario
selten - rare	稀有 - 稀有	rare - rare	दुर्लभ - दुर्लभ	raro - raro	珍しい - 珍しい	raro - raro	редкий - редкий	raro - raro
kostbar - precious	珍贵的——珍贵的	précieux - précieux	कीमती - कीमती	prezioso - prezioso	貴重な - 貴重な	precioso - precioso	драгоценный - драгоценный	precioso - precioso
wertvoll - valuable	有价值的——有价值的	précieux - précieux	मूल्यवान - मूल्यवान	prezioso - prezioso	貴重な - 貴重な	valioso - valioso	ценный - ценный	valioso - valioso
teuer - expensive	贵——贵	cher - cher	महँगा - महँगा	costoso - costoso	高価 - 高価	caro - caro	дорогой - дорогой	caro - caro
billig - cheap	便宜-便宜	pas cher - pas cher	सस्ता - सस्ता	economico - economico	安い - 安い	barato - barato	дешево - дешево	barato - barato
preiswert - inexpensive	便宜 - 便宜	pas cher - pas cher	सस्ता - सस्ता	poco costoso - poco costoso	安い - 安い	barato - barato	недорогой - недорогой	barato - barato
umsonst - free	免费 - 免费	gratuitement - gratuit	मुफ़्त में - मुफ़्त	gratuitamente - gratuitamente	無料 - 無料	de graça - de graça	бесплатно - бесплатно	gratis - gratis
gratis - free	免费 - 免费	gratuit - gratuit	मुफ़्त - मुफ़्त	gratuito - gratuito	無料 - 無料	grátis - grátis	бесплатно - бесплатно	gratis - gratis
kostenlos - free of charge	免费	gratuitement	निःशुल्क	gratuitamente	無料	gratuitamente	бесплатно	gratis
bezahlt - paid	付费-付费	payé - payé	भुगतान किया गया - भुगतान किया गया	pagato - pagato	支払った - 支払った	pago - pago	оплачено - оплачено	pagado - pagado
schuldig - guilty, owed	有罪——有罪，有罪	coupable - coupable, dû	दोषी - दोषी, बकाया	colpevole - colpevole, dovuto	有罪 - 有罪、負い目	culpado - culpado, devido	виновен – виновен, обязан	culpable - culpable, debido
frei - free	免费 - 免费	gratuit - gratuit	मुफ़्त - मुफ़्त	gratuito - gratuito	無料 - 無料	grátis - grátis	бесплатно - бесплатно	gratis - gratis
gebunden - bound	束缚-束缚	lié - lié	बँधा हुआ - बँधा हुआ	legato - legato	バウンド - バウンド	vinculado - vinculado	связанный - связанный	atado - atado
offen - open	开放-开放	ouvert - ouvert	खुला - खुला	aperto - aperto	開く - 開く	aberto - aberto	открыть - открыть	abierto - abierto
geschlossen - closed	封闭-封闭	fermé - fermé	बंद - बंद	chiuso - chiuso	閉店 - 閉店	fechado - fechado	закрыто - закрыто	cerrado - cerrado
verfügbar - available	可用 - 可用	disponible - disponible	उपलब्ध - उपलब्ध	disponibile - disponibile	利用可能 - 利用可能	disponível - disponível	доступный - доступный	disponible - disponible
besetzt - occupied	被占用 - 被占用	occupé - occupé	कब्जा कर लिया - कब्जा कर लिया	occupato - occupato	占領中 - 占領中	ocupado - ocupado	оккупированный - оккупированный	ocupado - ocupado
leer - empty	空——空	vide - vide	खाली - खाली	vuoto - vuoto	空 - 空	vazio - vazio	пустой - пустой	vacío - vacío
voll - full	满满	plein - plein	पूर्ण - पूर्ण	pieno - pieno	いっぱい - いっぱい	completo - completo	полный - полный	lleno - lleno
ganz - whole	整体-整体	entier - entier	संपूर्ण - संपूर्ण	intero - intero	全体 - 全体	todo - todo	целое - целое	entero - entero
teil - part	部分-部分	partie - partie	भाग - भाग	parte - parte	一部 - 一部	parte - parte	часть - часть	parte - parte
stück - piece	一块一块	morceau - morceau	टुकड़ा - टुकड़ा	pezzo - pezzo	ピース - ピース	peça - peça	кусок - кусок	pieza - pieza
menge - quantity	数量 - 数量	quantité - quantité	मात्रा - मात्रा	quantità - quantità	数量 - 数量	quantidade - quantidade	количество - количество	cantidad - cantidad
anzahl - number	数字-数字	numéro - numéro	संख्या - संख्या	numero - numero	番号 - 番号	número - número	номер - номер	número - número
paar - pair, couple	一对，情侣	paire - paire, couple	जोड़ा - जोड़ा, जोड़ा	coppia - coppia, coppia	ペア - ペア、カップル	par - par, casal	пара – пара, пара	par - par, pareja
gruppe - group	组-组	groupe - groupe	समूह - समूह	gruppo - gruppo	グループ - グループ	grupo - grupo	группа - группа	grupo - grupo
reihe - row	行-行	rangée - rangée	पंक्ति - पंक्ति	riga - riga	行 - 行	linha - linha	ряд - ряд	fila - fila
serie - series	系列-系列	série - série	शृंखला - शृंखला	serie - serie	シリーズ - シリーズ	série - série	сериал - сериал	serie - serie
sammlung - collection	收藏-收藏	collecte - collecte	संग्रह - संग्रह	raccolta - raccolta	コレクション - コレクション	coleção - coleção	коллекция - коллекция	colección - colección
satz - set	设定-设定	ensemble - ensemble	सेट - सेट	impostare - impostare	セット - セット	definir - definir	набор - набор	conjunto - conjunto
haufen - heap	堆 - 堆	tas - tas	ढेर - ढेर	mucchio - mucchio	ヒープ - ヒープ	pilha - pilha	куча - куча	montón - montón
stapel - stack	堆栈 - 堆栈	pile - pile	ढेर - ढेर	pila - pila	スタック - スタック	pilha - pilha	стек - стек	apilar - apilar
masse - mass	质量-质量	masse - masse	द्रव्यमान - द्रव्यमान	massa - massa	質量 - 質量	massa - massa	масса - масса	masa - masa
volumen - volume	体积-体积	volume - volume	आयतन - आयतन	volume - volume	ボリューム - ボリューム	volume - volume	объем - объем	volumen - volumen
gewicht - weight	体重-体重	poids - poids	वजन - वजन	peso - peso	重量 - 重量	peso - peso	вес - вес	peso - peso
länge - length	长度-长度	longueur - longueur	लंबाई - लंबाई	lunghezza - lunghezza	長さ - 長さ	comprimento - comprimento	длина - длина	longitud - longitud
breite - width	宽度-宽度	largeur - largeur	चौड़ाई - चौड़ाई	larghezza - larghezza	幅 - 幅	largura - largura	ширина - ширина	ancho - ancho
höhe - height	高度-高度	hauteur - hauteur	ऊंचाई - ऊंचाई	altezza - altezza	高さ - 高さ	altura - altura	высота - высота	altura - altura
tiefe - depth	深度-深度	profondeur - profondeur	गहराई - गहराई	profondità - profondità	深さ - 深さ	profundidade - profundidade	глубина - глубина	profundidad - profundidad
größe - size	尺寸-尺寸	taille - taille	आकार - आकार	dimensione - dimensione	サイズ - サイズ	tamanho - tamanho	размер - размер	tamaño - tamaño
maß - measure	测量-测量	mesurer - mesurer	माप - माप	misurare - misurare	測る - 測る	medir - medir	мера - мера	medir - medir
einheit - unit	单位-单位	unité - unité	इकाई - इकाई	unità - unità	単位 - 単位	unidade - unidade	единица - единица	unidad - unidad
meter - meter	米 - 米	mètres - mètres	मीटर - मीटर	metri - metri	メートル - メートル	metros - metros	метры - метры	metros - metros
zentimeter - centimeter	厘米 - 厘米	centimètre - centimètre	सेंटीमीटर - सेंटीमीटर	centimetro - centimetro	センチメートル - センチメートル	centímetro - centímetro	сантиметр - сантиметр	centímetro - centímetro
kilometer - kilometer	公里 - 公里	kilomètres - kilomètres	किलोमीटर - किलोमीटर	chilometri - chilometri	キロメートル - キロメートル	quilômetros - quilômetros	километры - километры	kilómetros - kilómetros
millimeter - millimeter	毫米 - 毫米	millimètre - millimètre	मिलीमीटर - मिलीमीटर	millimetro - millimetro	ミリメートル - ミリメートル	milímetro - milímetro	миллиметр - миллиметр	milímetro - milímetro
gramm - gram	克-克	gramme - gramme	चना - चना	grammo - grammo	グラム - グラム	grama - grama	грамм - грамм	gramo - gramo
kilogramm - kilogram	公斤 - 公斤	kilogramme - kilogramme	किलोग्राम - किलोग्राम	chilogrammo - chilogrammo	キログラム - キログラム	quilograma - quilograma	килограмм - килограмм	kilogramo - kilogramo
tonne - ton	吨吨	tonne - tonne	टन - टन	tonnellata - tonnellata	トン - トン	tonelada - tonelada	тонна - тонна	tonelada - tonelada
liter - liter	升 - 升	litre - litre	लीटर - लीटर	litro - litro	リットル - リットル	litro - litro	литр - литр	litro - litro
milliliter - milliliter	毫升 - 毫升	millilitres - millilitres	मिलीलीटर - मिलीलीटर	millilitri - millilitri	ミリリットル - ミリリットル	mililitros - mililitros	миллилитры - миллилитры	mililitros - mililitros
grad - degree	研究生学位	diplômé - diplôme	स्नातक - डिग्री	grad - laurea	卒業 - 学位	pós-graduação	grad - степень	graduado - grado
celsius - Celsius	摄氏度 - 摄氏度	Celsius - Celsius	सेल्सियस - सेल्सियस	Celsius - Celsius	摂氏 - 摂氏	Celsius - Celsius	Цельсий - Цельсий	grados centígrados - grados centígrados
fahrenheit - Fahrenheit	华氏度 - 华氏度	Fahrenheit - Fahrenheit	फ़ारेनहाइट - फ़ारेनहाइट	Fahrenheit - Fahrenheit	華氏 - 華氏	Fahrenheit - Fahrenheit	Фаренгейт - Фаренгейт	Fahrenheit-Fahrenheit
sekunde - second	第二次第二次	seconde - seconde	दूसरा - दूसरा	secondo - secondo	2番目 - 2番目	segundo - segundo	второй - второй	segundo - segundo
minute - minute	分钟分钟	minute - minute	मिनट - मिनट	minuto - minuto	分 - 分	minuto - minuto	минута - минута	minuto - minuto
stunde - hour	一个小时一个小时	heure - heure	घंटा - घंटा	ora - ora	時 - 時	hora - hora	час - час	hora - hora
tag - day	日复一日	jour - jour	दिन पर दिन	giorno - giorno	毎日毎日	dia - dia	день - день	día - día
woche - week	一周又一周	semaine - semaine	सप्ताह - सप्ताह	settimana - settimana	週ごと	semana - semana	неделя - неделя	semana - semana
monat - month	月月	mois - mois	महीना - महीना	mese - mese	月 - 月	mês - mês	месяц - месяц	mes - mes
jahr - year	年复一年	année - année	साल - साल	anno - anno	年 - 年	ano - ano	год - год	año - año
jahrzehnt - decade	十年 - 十年	décennie - décennie	दशक - दशक	decennio - decennio	10年 - 10年	década - década	десятилетие - десятилетие	década - década
jahrhundert - century	世纪-世纪	siècle - siècle	सदी - सदी	secolo - secolo	世紀 - 世紀	século - século	век - век	siglo - siglo
jahrtausend - millennium	千禧年——千禧年	millénaire - millénaire	सहस्राब्दी - सहस्राब्दी	millennio - millennio	ミレニアム - ミレニアム	milênio - milênio	тысячелетие - тысячелетие	milenio - milenio
epoche - epoch	纪元-纪元	époque - époque	युग - युग	epoca - epoca	エポック - エポック	época - época	эпоха - эпоха	época - época
ära - era	时代时代	époque - époque	युग - युग	epoca - epoca	時代 - 時代	era - era	эпоха - эпоха	era - era
periode - period	期间 - 期间	période - période	अवधि - अवधि	periodo - periodo	期間 - 期間	período - período	период - период	período - período
phase - phase	相间	phase - phase	चरण - चरण	fase - fase	相 - 相	fase - fase	фаза - фаза	fase - fase
stadium - stage	体育场-舞台	stade - scène	स्टेडियम - मंच	stadio - palcoscenico	スタジアム～ステージ	estádio - palco	стадион - сцена	estadio - escenario
stufe - level	级别-级别	niveau - niveau	स्तर - स्तर	livello - livello	レベル - レベル	nível - nível	уровень - уровень	nivel - nivel
schritt - step	一步一步	étape - étape	कदम - कदम	passo - passo	ステップ - ステップ	passo - passo	шаг - шаг	paso - paso
etappe - stage	阶段阶段	scène - scène	मंच - मंच	palcoscenico - palcoscenico	ステージ - ステージ	palco - palco	этап - этап	etapa - etapa
abschnitt - section	节-节	section - section	खंड - खंड	sezione - sezione	セクション - セクション	seção - seção	раздел - раздел	sección - sección
kapitel - chapter	章与章	chapitre - chapitre	अध्याय - अध्याय	capitolo - capitolo	章 - 章	capítulo - capítulo	глава - глава	capítulo - capítulo
seite - page	页-页	page - page	पेज - पेज	pagina - pagina	ページ - ページ	página - página	страница - страница	página - página
zeile - line	线对线	ligne - ligne	रेखा - रेखा	linea - linea	ライン - ライン	linha - linha	линия - линия	línea - línea
absatz - paragraph	段落-段落	paragraphe - paragraphe	पैराग्राफ - पैराग्राफ	paragrafo - paragrafo	段落 - 段落	parágrafo - parágrafo	абзац - абзац	párrafo - párrafo
satz - sentence	句子 - 句子	phrase - phrase	वाक्य - वाक्य	frase - frase	文 - 文	frase - frase	предложение - предложение	oración - oración
wort - word	字字	mot - mot	शब्द - शब्द	parola - parola	言葉 - 言葉	palavra - palavra	слово - слово	palabra - palabra
buchstabe - letter	信-信	lettre - lettre	पत्र - पत्र	lettera - lettera	手紙 - 手紙	carta - carta	письмо - письмо	carta - carta
zeichen - character	字符 - 字符	personnages - personnage	पात्र - चरित्र	personaggi - carattere	文字 - 文字	personagens - personagem	персонажи - характер	personajes - personaje
symbol - symbol	符号-符号	symbole - symbole	प्रतीक - प्रतीक	simbolo - simbolo	シンボル - シンボル	símbolo - símbolo	символ - символ	símbolo - símbolo
ziffer - digit	数字-数字	chiffre - chiffre	अंक - अंक	cifra - cifra	桁 - 桁	dígito - dígito	цифра - цифра	dígito - dígito
schrift - writing	写作——写作	écrire - écrire	लिखना-लिखना	scrivere - scrivere	書く - 書く	escrevendo - escrevendo	писать - писать	escribiendo - escribiendo
text - text	文本-​​文本	texte - texte	पाठ - पाठ	testo - testo	テキスト - テキスト	texto - texto	текст - текст	texto - texto
buch - book	书本	livre - livre	किताब - किताब	libro - libro	本 - 本	livro - livro	книга - книга	libro - libro
roman - novel	小说 - 小说	roman - roman	उपन्यास - उपन्यास	romanzo - romanzo	小説 - 小説	romance - romance	роман - роман	novela - novela
geschichte - story	历史 - 故事	histoire - histoire	पुरानी कहानी	storia - storia	歴史 - 物語	história - história	история - история	historia - historia
erzählung - narrative	叙事——叙事	récit - récit	कथा - कथा	narrativa - narrativa	物語 - 物語	narrativa - narrativa	повествование - повествование	narrativa - narrativa
märchen - fairy tale	童话故事 - 童话故事	conte de fées - conte de fées	परी कथा - परी कथा	fiaba - fiaba	おとぎ話 - おとぎ話	conto de fadas - conto de fadas	сказка - сказка	cuento de hadas - cuento de hadas
gedicht - poem	诗-诗	poème - poème	कविता - कविता	poesia - poesia	詩 - 詩	poema - poema	стихотворение - стихотворение	poema - poema
vers - verse	诗句	verset - versets	छंद - छंद	verso - versi	詩 - 詩	verso - versos	стих - стихи	verso - versos
reim - rhyme	押韵	rime - rime	तुकबंदी - तुकबंदी	rima - rima	韻を踏む - 韻を踏む	rima - rima	рифма - рифма	rima - rima
prosa - prose	散文-散文	prose - prose	गद्य - गद्य	prosa - prosa	散文 - 散文	prosa - prosa	проза - проза	prosa - prosa
drama - drama	戏剧 - 戏剧	drame - drame	नाटक - नाटक	dramma - dramma	ドラマ - ドラマ	drama - drama	драма - драма	teatro - teatro
komödie - comedy	喜剧 - 喜剧	comédie - comédie	कॉमेडी - कॉमेडी	commedia - commedia	コメディ - コメディ	comédia - comédia	комедия - комедия	comedia - comedia
tragödie - tragedy	悲剧——悲剧	tragédie - tragédie	त्रासदी - त्रासदी	tragedia - tragedia	悲劇 - 悲劇	tragédia - tragédia	трагедия - трагедия	tragedia - tragedia
autor - author	作者-作者	auteur - auteur	लेखक - लेखक	autore - autore	著者 - 著者	autor - autor	автор - автор	autor - autor
schriftsteller - writer	作家 - 作家	écrivain - écrivain	लेखक - लेखक	scrittore - scrittore	ライター - ライター	escritor - escritor	писатель - писатель	escritor - escritor
dichter - poet	诗人-诗人	poète - poète	कवि - कवि	poeta - poeta	詩人 - 詩人	poeta - poeta	поэт - поэт	poeta - poeta
leser - reader	读者读者	lecteur - lecteur	पाठक - पाठक	lettore - lettore	リーダー - リーダー	leitor - leitor	читатель - читатель	lector - lector
verlag - publisher	出版商 - 出版商	éditeur - éditeur	प्रकाशक - प्रकाशक	editore - editore	出版社 - 出版社	editora - editora	издатель - издатель	editor - editor
ausgabe - edition	版本 - 版本	édition - édition	संस्करण - संस्करण	edizione - edizione	エディション - エディション	edição - edição	издание - издание	edición - edición
auflage - edition, print run	版本 - 版本，印刷版	édition - édition, tirage	संस्करण - संस्करण, प्रिंट रन	edizione - edizione, tiratura	エディション - エディション、印刷版	edição - edição, tiragem	edition - издание, тираж	edición - edición, tirada
druck - print, pressure	压力——打印、压力	pression - impression, pression	दबाव - प्रिंट, दबाव	pressione: stampa, pressione	圧力 - 印刷、圧力	pressão - imprimir, pressão	давление - печать, давление	presión - impresión, presión
papier - paper	纸 - 纸	papier - papier	कागज - कागज	carta - carta	紙 - 紙	papel - papel	бумага - бумага	papel - papel
tinte - ink	墨墨	encre - encre	स्याही - स्याही	inchiostro - inchiostro	インク - インク	tinta - tinta	чернила - чернила	tinta - tinta
stift - pen	笔笔	stylo - stylo	कलम - कलम	penna - penna	ペン - ペン	caneta - caneta	ручка - ручка	bolígrafo - bolígrafo
bleistift - pencil	铅笔 - 铅笔	crayon - crayon	पेंसिल - पेंसिल	matita - matita	鉛筆 - 鉛筆	lápis - lápis	карандаш - карандаш	lápiz - lápiz
kreide - chalk	粉笔 - 粉笔	craie - craie	चाक - चाक	gesso - gesso	チョーク - チョーク	giz - giz	мел - мел	tiza - tiza
tafel - board	板-板	planche - planche	बोर्ड - बोर्ड	consiglio - consiglio	ボード - ボード	tabuleiro - tabuleiro	доска - доска	tablero - tablero
heft - notebook	笔记本 - 笔记本	cahier - cahier	नोटबुक - नोटबुक	taccuino - taccuino	ノート - ノート	caderno - caderno	блокнот - блокнот	cuaderno - cuaderno
block - pad	块垫	bloc - tampon	ब्लॉक - पैड	blocco - pad	ブロック - パッド	bloco - bloco	блок - площадка	bloque - almohadilla
notiz - note	注释-注释	remarque - remarque	नोट - नोट	nota - nota	メモ - メモ	nota - nota	примечание - примечание	nota - nota
brief - letter	信-信	lettre - lettre	पत्र - पत्र	lettera - lettera	手紙 - 手紙	carta - carta	письмо - письмо	carta - carta
karte - card	卡卡	carte - carte	कार्ड - कार्ड	carta - carta	カード - カード	cartão - cartão	карта - карта	tarjeta - tarjeta
